patent_abstract,patent_date,patent_kind,patent_number,patent_title,patent_year
"A method is described to let animators control the extent by which kinematically scripted character motions affect dynamically simulated objects' motions. The dynamic objects are connected to the kinematic character, such as clothing or hair, and the motion of the dynamic objects is simulated based on the motion of the kinematic character. Such control is important to produce reasonable behavior of dynamic objects in the presence of physically unrealistic kinematic character motion. An Inertial Field Generator (IFG) is employed to compensate for the unreasonable behavior of dynamic objects when the kinematic character undergoes unrealistic motion.",2007-04-17,B2,7206729,Inertial field generator: a method for controllably coupling kinematic character motions to dynamically simulated elements,2007
"A method is described to let animators control the extent by which kinematically scripted character motions affect dynamically simulated objects' motions. The dynamic objects are connected to the kinematic character, such as clothing or hair, and the motion of the dynamic objects is simulated based on the motion of the kinematic character. Such control is important to produce reasonable behavior of dynamic objects in the presence of physically unrealistic kinematic character motion. An Inertial Field Generator (IFG) is employed to compensate for the unreasonable behavior of dynamic objects when the kinematic character undergoes unrealistic motion.",2012-06-05,B2,8194079,Inertial field generator: a method for controllably coupling kinematic character motions to dynamically simulated elements,2012
"The present technology relates to an information collection system, an electronic shelf label, an electronic POP advertising, and a character information display device that allow information with higher accuracy to be collected. An information collection device that collects information associated with a customer or a product is included for each product type. Alternatively, an information processing device that supplies information associated with a product and an information display terminal that displays information associated with a product supplied from the information processing device are included. The present disclosure can be applied, for example, to an electronic shelf label, an image pickup device, a communication device, an information processing device, electronic equipment, a computer, a storage medium, a system, and the like.",2022-08-02,B2,11403672,"Information collection system, electronic shelf label, electronic pop advertising, and character information display device",2022
"An information encryption system and an information encryption method for encrypting character information and decrypting the encrypted information by using optical character recognition includes a user terminal comprising: a viewer region display unit for displaying a viewer region at the very top of a screen; a viewer character recognition unit for recognizing in real-time characters displayed on a screen region covered by the viewer region, a viewer character encryption unit for generating an encrypted character by encrypting a first character to be encrypted by using a cipher when the first character is recognized; an encrypted character substitution unit for deleting the first character and substitutively inputting the encrypted character; and a viewer character display unit for displaying a non-encrypted second character as it is, and decrypting an encrypted second character by using a cipher and displaying the same in an original character when the second character to be displayed is recognized.",2018-07-10,B2,10019913,Information encryption system and information encryption method using optical character recognition,2018
"The present invention permits users to obtain detailed information concerning those portions of web contents in which they are most interested and provides an information extraction system. In an embodiment, the information extraction system comprises a server and a client, connected via a communication network, wherein the server provides a data file for a client to browse; and wherein the client includes a browser for displaying the contents of the data file that is received from the server via the communication network, an operation event detection analyzer for detecting a predetermined specific operation based on a user's operation when the user reads the contents of the data file displayed by the browser, and a text extractor for extracting information that is displayed at a location whereat the specific operation that is detected by the operation event analyzer is performed on a display screen of the browser.",2005-08-23,B2,6934750,"Information extraction system, information processing apparatus, information collection apparatus, character string extraction method, and storage medium",2005
"The present invention permits users to obtain detailed information concerning those portions of web contents in which they are most interested and provides an information extraction system. In an embodiment, the information extraction system comprises a server and a client, connected via a communication network, wherein the server provides a data file for a client to browse; and wherein the client includes a browser for displaying the contents of the data file that is received from the server via the communication network, an operation event detection analyzer for detecting a predetermined specific operation based on a user's operation when the user reads the contents of the data file displayed by the browser, and a text extractor for extracting information that is displayed at a location whereat the specific operation that is detected by the operation event analyzer is performed on a display screen of the browser.",2009-02-10,B2,7490090,"Information extraction system, information processing apparatus, information collection apparatus, character string extraction method, and storage medium",2009
"In reading out character dot patterns corresponding to character code signals from a dot pattern store therein a number of character dot patterns representing characters, there is provided a store therein position signals representing positions whereat the character dot patterns are stored in said dot pattern store, so that the position signals are first read out from the store by the character code signals and the corresponding character dot patterns are read out from said dot pattern store by the position signals.",1980-11-18,A,4234931,Information output apparatus for putting out a character dot pattern,1980
"In an information output device, character data is read from a font memory and temporarily stored in a data buffer circuit and then dot-expanded to a full-dot memory. A data character is read from the font memory in units of a word and is written into a stage of the data buffer circuit while being laterally shifted so as to selectively position the character. The character is expanded or reduced by duplicating or eliminating the write operation for selected words at the time of reading the data from the data buffer circuit into the full-dot memory. Thus, the data buffer circuit operates to perform both the functions of character positioning and character expansion/compression.",1989-11-07,A,4879666,Information output device having data buffer for performing both character positioning and character expansion/compression,1989
"A tape drive, including: a housing including a single character display that displays a single character at a time; and an activator configured such that, when the single character display displays a single character representative of a status of the tape drive, activation of the activator causes the tape drive to further represent the status represented by the single character as information including a plurality of words detailing the status, the information provided by repeatedly spelling out a message, including the plurality of words describing the status of the tape drive, one letter at a time on the single character display, and an audible message provider that provides an audible message, including the plurality of words describing the status of the tape drive.",2009-02-10,B1,7489475,Information output from a single character display for LTO drives,2009
"A hand-held computer with an input pen capable of handwriting recognition. Characters are inputted by a user's manual operation with the input pen on a transparent coordinate input plate in front of a display screen. The computer discriminates pen-input characteristic of the user, and selects a character-recognition dictionary based on the discrimination result.",1997-07-01,A,5644653,Information processing apparatus and control method thereof having user character recognition,1997
"An information processing apparatus includes a storage unit and a processor. A font file includes type face data and serif data. When a sans-serif font is selected, the processor generates sans-serif character data on the basis of the type face data. When a serif font selected, the processor generates sans-serif character data, generates serif image data, and adds generated the serif image data to generated the sans-serif character data to generate serif character data.",2022-01-18,B2,11227198,Information processing apparatus and image forming apparatus for generating sans-serif character data and serif character data,2022
"Information that is required for laying out character string data is entered, as are character string data. The printing attributes for the data are then edited, and are employed to extract contour information. Thereafter, the extracted contour information is employed to determine the information that is to be used as a reference when laying out the character string data, and a layout position is specified. Then, the various data that are obtained are stored as printing data, and the character string data are laid out in a drawing area. Therefore, the printing data can be precisely and easily prepared, without the work efficiency of a user being deteriorated.",2010-08-31,B2,7786995,Information processing apparatus and information processing method for determining character layout,2010
"An information processing method and apparatus includes elements and steps to rapid figure editing and its execution environment by quickly executing a program and a file from a diagram showing a flow of the program and file. According to the invention, a rectangular figure object in which a line width is set to ""0.2 mm"", a line type is set to ""solid line"", and a line color is set to ""black"" and which is filled by a pattern of a ""diagonal-1"" of ""red"" is pasted to a drawing sheet by using a mouse or the like by the user. After a character attribute ""dir"" was pasted to the rectangular object by using a keyboard, for example, when an instruction to point the rectangular object by using the mouse or the like or to depress a button of the mouse while depressing a control key of the keyboard, or the like is performed, a command interpreter stored in a memory device is activated by a CPU, the character attribute ""dir"" of the rectangular object is read out, the characters ""dir"" are sent to the activated command interpreter, and the computer command ""dir"" is executed, so that the above object can be accomplished.",1999-04-27,A,5897647,Information processing apparatus and method and computer usable medium for storing an input character train in correspondence to a figure object to which the character train is instructed to be pasted,1999
"A method for controlling an information processing apparatus includes executing first input processing to receive a first input instruction of characters to the input region for input characters while the input region is being displayed, executing second input processing to receive a second input instruction of characters to the input region while the input region is not being displayed. Whether to execute the first input processing or the second input processing is determined according to a user operation for input of at least any of letters, numerals, and symbols in the input region.",2022-08-16,B2,11418659,Information processing apparatus and method for controlling information processing apparatus comprising utilizing hardware numeric keys for character string input into input regions and pressing an input region multiple instances to display a software keyboard for character string input into an input region,2022
"An information processing apparatus includes an extraction unit that extracts a character string corresponding to a keyword from a character string including the keyword described across plural lines, in accordance with an extraction condition of the character string corresponding to the keyword, a combining unit that combines character strings extracted by the extraction unit in accordance with a line sequence, and an output unit that the character strings combined by the combining unit as a character string corresponding to the keyword.",2021-09-07,B2,11113558,Information processing apparatus and non-transitory computer readable medium storing information processing program for character string extraction,2021
"An improved information processing apparatus, method, and a non-transitory recording medium storing instructions for executing an information processing method are provided. The information processing apparatus acquires setting information on a language displayed on a display device by the information processing apparatus, acquires correspondence information stored in a conversion table indicating correspondence between the language and a code page, determines a target character code based on the acquired setting information and the correspondence information, and converts a character code of data to be output to an external device into the identified target character code.",2020-08-04,B2,10732914,"Information processing apparatus configured to determine a character code compatible with an external device, method, and non-transitory recording medium storing instructions for executing an information processing method",2020
"An information processing apparatus includes a character recognition unit that performs a character recognition process to recognize a character included in an image, and a partitioning unit that partitions a specific region if a character string recognized through the character recognition process performed by the character recognition unit on a specific region included in the image includes a character or a character string, each of which satisfies a predetermined condition.",2021-12-28,B2,11210564,Information processing apparatus for character recognition and non-transitory computer readable medium,2021
"In an information processing apparatus which can edit print data capable of including an image resource, provided is a method which performs suitable image processing on a character stamp image by embedding an image rendering a character string of a stamp and attaching information for distinguishing the embedded image.",2013-09-17,B2,8537388,Information processing apparatus for image processing on a character stamp by embedding an image rendering a character string of a stamp,2013
"An information processing apparatus includes a specific pattern storage unit, a pattern comparing unit, a character recognizing unit, and a file generating unit. The specific pattern storage unit stores specific pattern information in which a specific pattern is registered. The pattern comparing unit compares the image data with a specific pattern that is registered in the specific pattern information by image matching and determines whether or not the specific pattern present in the image data is detected, and when detected, deletes the specific pattern from the image data and outputs pattern-deleted image data. The character recognizing unit performs an OCR process on the pattern-deleted image data, converts a character string in the pattern-deleted image data into text data, and outputs the converted text data as an OCR analysis result. The file generating unit generates document data based on the OCR analysis result.",2020-04-28,B2,10638001,Information processing apparatus for performing optical character recognition (OCR) processing on image data and converting image data to document data,2020
"An information processing apparatus comprising a coordinate input unit for inputting coordinate data series, a recognition unit for recognizing a character based on the coordinate data series inputted, and a page/note management unit for managing a data aggregate of the character recognized as a page, receiving a search condition from a user, and managing one or more page aggregates hit by the condition as notes.",2019-02-05,B2,10198175,Information processing apparatus for recognizing an inputted character based on coordinate data series,2019
"An information processing apparatus determines whether setting value data corresponding to the identification information of the received printer data is present in a storage unit, stores setting value data containing the identification information, the character string information, and the version information in the storage unit when it is determined that the setting value data corresponding to the identification information of the printer data is not present in the storage unit, and updates the character string information and the version information of the setting value data with those of the printer data when it is determined that the setting value data corresponding to the identification information of the printer data is present in the storage unit, and when the version information of the printer data is newer than that of the setting value data.",2014-01-14,B2,8629993,Information processing apparatus for updating a character string displayed on a print setting screen,2014
"In order to capture entire object, it is necessary for an image capturer to move a mobile terminal in various directions and to determine whether all is captured, and therefore, the operation of the image capturer becomes complicated. An information processing apparatus having a camera function, which displays a live view image acquired via a camera on a display, determines, by analyzing the live view image, a direction of an uncaptured area that should be captured next and whether the live view image is an image suitable to OCR processing, and displays, in accordance with analysis results of the live view image, a guide to prompt a user to perform an operation so that an image corresponding to the determined direction of the uncaptured area of the object is captured next.",2019-05-14,B2,10291843,"Information processing apparatus having camera function and producing guide display to capture character recognizable image, control method thereof, and storage medium",2019
"An information processing apparatus includes an identifying unit, a character recognition unit, an obtaining unit, a correcting unit, and an output unit. The identifying unit identifies a still image included in a moving image. The character recognition unit performs character recognition on the still image identified by the identifying unit. The obtaining unit obtains information about the moving image. The correcting unit corrects, on the basis of the information obtained by the obtaining unit, a character recognition result generated by the character recognition unit. The output unit outputs the character recognition result corrected by the correcting unit in association with the moving image.",2014-06-17,B2,8755603,Information processing apparatus performing character recognition and correction and information processing method thereof,2014
"An information processing apparatus according to an exemplary embodiment of the present invention acquires a file from a file generation apparatus and also acquires address book information including a facsimile number from an apparatus having a facsimile function. Then, the information processing apparatus extracts a character string from a predetermined position in a file name of the acquired file and collates the extracted character string with the acquired address book information to identify a facsimile number of a transmission destination of the acquired file.",2016-09-06,B2,9438764,Information processing apparatus which extracts a character string from a file name and collates it with address book information,2016
"An information processing apparatus includes a hardware processor that: accepts an image input from outside as an input image; recognizes a plurality of characters in the input image and produces character information that is constituted by the characters and includes a plurality of character strings; detects, from the character information, link information representing a network address of data; and corrects one or more of the character strings other than a character string that constitutes the link information among the character strings.",2021-09-07,B2,11115544,"Information processing apparatus, character recognition method and non-transitory computer-readable recording medium encoded with character recognition instructions",2021
"Even in the case of an information processing apparatus different from a computer usually used by a user, the same kana-kanji conversion candidates as the computer are acquired without unifying Japanese-language converting programs and unifying usage environments. The computer comprises a kana-kanji converting portion that receives a character string from an information processing apparatus through a network to return conversion candidates. The apparatus displays the conversion candidates.",2011-03-01,B2,7899664,"Information processing apparatus, computer, information processing system, information processing method, and program for receiving a character string and returning conversion candidates",2011
"An information processing apparatus acquires an image obtained by photographing a part of the subject, specifies a relative position which part of the subject is photographed to obtain the image, determines a specific area included in the obtained image based on the specified relative position, and calculates an edge amount of the specific area. Then, in a case where the calculated edge amount in the specific area is larger than a first threshold, a character recognition processing is performed on the specific area included in the acquired image.",2019-08-06,B2,10373329,"Information processing apparatus, information processing method and storage medium for determining an image to be subjected to a character recognition processing",2019
"An information processing apparatus comprising a memory; a non-volatile memory; and a processor coupled to the memory and the non-volatile memory, the processor configured to: store a rectification history for a result of character recognition processing in association with items and item values; compare, for the respective items, a newly input result of the character recognition processing with the item values stored in the non-volatile memory; select a set of the item values stored in the non-volatile memory based on a result of the comparison; and correct the newly input result of the character recognition processing by using the selected set of the item values.",2021-04-06,B2,10972627,"Information processing apparatus, information processing method, and non-transitory computer readable medium for correcting character recognition result",2021
"There is provided an information processing apparatus including a setting unit that sets a search character string, a searching unit that searches information including the set search character string, and a determining unit that extracts a co-occurrence character string candidate group other than partial character strings appearing as only a part of other partial character strings, among all partial character strings appearing in a plurality of pieces of the information obtained as a search result, and determines a co-occurrence character string from the co-occurrence character string candidate group, on the basis of the extracted co-occurrence character string candidate group and kinds of characters used in characters before and after the co-occurrence character string candidate group.",2016-12-27,B2,9529847,"Information processing apparatus, information processing method, and program for extracting co-occurrence character strings",2016
"There is provided an information processing apparatus, an information processing method, and a program that make it possible to modify a cluster segment relating to a character string group in an adaptive manner to the character string group to be acquired. The information processing apparatus includes: an acquisition unit that acquires a first character string group; and a modification unit that modifies a cluster segment relating to the first character string group on the basis of the first character string group and a predetermined condition.",2022-03-15,B2,11275897,"Information processing apparatus, information processing method, and program for modifying a cluster segment relating to a character string group",2022
"According to the technology of the present disclosure, candidates of a selection-type value included in metadata in a key-value format, which is registered in association with scanned image data, can be appropriately displayed. An information processing apparatus, which assigns metadata in a key-value format to scanned image data obtained by scanning a document, includes: a first obtaining unit configured to obtain a character string extracted from the scanned image data; a second obtaining unit configured to obtain a template of the metadata; a display control unit configured to display a screen for inputting the metadata; and a setting unit configured to set a value in association with the scanned image data, based on operation by a user via the screen, the value corresponding to a key included in the template of the metadata obtained by the second obtaining unit.",2022-08-30,B2,11431868,"Information processing apparatus, information processing method, and storage medium comprising extracting a character string from a scanned document and determining if pre-defined candidates of a selection-type match the extracted character string, determining whether to display or not display one of the pre-defined candidates as a default value based on the result of the match between the extracted character string and the pre-defined candidates",2022
"An information processing apparatus includes an input unit, a display unit, a designation unit and an update unit. The input unit inputs a plurality of parts configuring one character. The display unit displays the plurality of parts. The designation unit designates one or more parts selected from the plurality of parts by a user. The update unit updates a display on the display unit such that the designated one or more parts are deleted from the one character and the other parts are remained displayed on the display unit.",2017-09-05,B2,9753907,"Information processing apparatus, printing apparatus, information processing method and storage medium for printing character including plurality of parts",2017
"In an information processing apparatus, character recognition processing is executed on a character string image including a plurality of characters, and a character string as a result of the character recognition processing on the character string image is displayed. When any character in the character string displayed as the result of the character recognition processing is selected by a user, a correction candidate character for the selected character is displayed based on a character string in master data managed in a database, different from the character string displayed as the result of the character recognition processing in a predetermined number of characters and in at least the selected character. When the displayed correction candidate character is selected by the user, the character string as the result of the character recognition processing is corrected using the selected correction candidate character.",2021-09-07,B2,11113556,"Information processing apparatus, program, and method that display correction candidate character for selected character based on found character string from master data",2021
"A search area is set on a recognition target image, cutout areas are set at a plurality of positions in the search area, images corresponding to the plurality of set cutout areas are extracted, similarities of candidate characters obtained by comparison between the extracted images and dictionary data is weighted in accordance with the positions of the cutout areas. In such a manner, evaluation values of the candidate characters are obtained, and a candidate character with the highest evaluation value among the obtained candidate characters is output as a recognition result. Further, a search area relating to a next character is set based on position information about the cutout area corresponding to the recognition result.",2020-04-14,B2,10621427,"Information processing apparatus, storage medium, and information processing method for character recognition by setting a search area on a target image",2020
"According to an aspect, an information processing device includes: a touch panel for detecting a contact; and a controller configured to display a virtual keyboard including a plurality of buttons on the touch panel, and receive, when the touch panel detects a contact started at a first position on the surface of the touch panel and terminated at a second position on the surface of the touch panel, a character string including characters corresponding to the buttons displayed on a trajectory obtained by connecting each position at which the contact is detected from when the contact is started at the first position to when the contact is terminated at the second position as input.",2016-02-09,B2,9256363,Information processing device and character input method,2016
"There is provided an information processing device to further improve the operability of user interfaces that use a voice as an input, the information processing device including: an acquisition unit configured to acquire context information in a period for collection of a voice; and a control unit configured to cause a predetermined output unit to present a candidate for character information obtained by converting the voice in a mode in accordance with the context information.",2021-03-02,B2,10937415,Information processing device and information processing method for presenting character information obtained by converting a voice,2021
"An information processing device performs processing on document image data. The document image data includes first image data of a plurality of images and second image data. The first image data undergoes character recognition processing. The second image data does not undergo character recognition processing. The information processing device includes a detecting section, an extracting section, and a processing section. The detecting section detects the first image data from the document image data. The extracting section extracts the first image data from the document image data. The processing section generates composite image data by compositing the images of the first image data and performs character recognition on the composite image data.",2021-03-02,B2,10936893,"Information processing device and method for document image extraction, composite image generation, and OCR processing including display of reading resolution instructions based on character density",2021
"An information processing device performs processing on document image data including first image data to undergo character recognition processing and second image data not to undergo character recognition processing. The information processing device includes a detecting section which detects the first image data, an extracting section which extracts the first image data, and a processing section. The processing section includes a counting section which counts first images, a determining section which determines whether the number of the first images exceeds a threshold, a first performing section which performs first processing when the threshold is exceeded, and a second performing section which performs second processing when the threshold is not exceeded. Through the first processing, the second image is masked with a background color of the document image and character recognition is then performed on the document image. Through the second processing, character recognition is performed on the first images.",2020-11-17,B2,10839206,Information processing device and method performing character recognition on document image data masked or not based on text image count,2020
The basic image specifying unit specifies the basic image of a character representing a user of the information processing device. The facial expression parameter generating unit converts the degree of the facial expression of the user to a numerical value. The model control unit determines an output model of the character for respective points of time. The moving image parameter generating unit generates a moving image parameter for generating animated moving image frames of the character for respective points of time. The command specifying unit specifies a command corresponding to the pattern of the facial expression of the user. The playback unit outputs an image based on the moving image parameter and the voice data received from the information processing device of the other user. The command executing unit executes a command based on the identification information of the command.,2014-09-09,B2,8830244,"Information processing device capable of displaying a character representing a user, and information processing method thereof",2014
"An information processing device includes a memory that stores character data of one or more first characters of a game and character data of one or more second characters owned by a user, a receiver that receives a game operation from the user, and a processor connected to the memory and the receiver. The processor updates character data of a third character selected from the one or more first characters, and outputs the updated character data to the memory. The processor extracts the same character as the third character from the one or more second characters based on reception of the game operation. The processor causes a display to display, to the user, a notification indicating that the character data of the same character has been updated.",2021-01-26,B2,10898806,Information processing device for a game using character data and information processing,2021
"An information processing device includes a detection unit configured to detect a movement of the information processing device, and a display unit configured to display a print image in which a layout has been changed in accordance with a detected movement of the information processing device.",2020-01-14,B2,10536592,"Information processing device for changing layout, position, or character style of character strings based on orientation",2020
"An information processing system includes: area extraction means for extracting an area occupied by a player from the mirror moving picture containing a player; control means for generating a computer image containing a game character; and display control means for causing a display device to display a superimposed moving picture obtained by superimposing the mirror moving picture and the computer image. The control means moves the game character according to the area occupied by the player in the superimposed moving picture. Thus, in the information processing system using the player image acquired by a camera as the input interface, it is possible to improve the game entertainment.",2011-06-14,B2,7959511,Information processing device for controlling movement of a game character by using a player image and game character movement control method,2011
"According to at least one embodiment of the present disclosure, when no user operation has been performed for a set period, an information processing device is caused to transition to a sleep mode including stopping display on a display unit. However, the information processing device is controlled to not transition to the sleep mode until a slideshow currently being displayed on the display unit, ends, in a case where the slideshow has been started.",2021-12-28,B2,11212409,Information processing device for registering and displaying a character string. and information processing method and storage medium thereof,2021
"An information processing program realizes, on a computer: a first-game control function that runs a first game while allowing a group of characters to participate therein; a subset creating function that creates, on the basis of a game result of the first game, a subset consisting of some characters included in the group of characters from a universal set consisting of all the characters included in the group of characters; and a second-game control function that runs a second game while performing control for the characters included in the subset created by the subset creating function so as to display, on a display medium, at least some character objects in the form of character objects of a predetermined kind.",2022-09-06,B2,11433306,"Information processing program, server, information processing system, and information processing device for changing character objects between games",2022
"An information processing system for input prediction that displays written character string candidates of words or phrases corresponding to an input character string in a terminal device. The terminal device acquires internal candidates by performing a search based on the input character string and transmits a candidate transmission request signal including identification information of a terminal dictionary stored in the terminal device and the input character string to a server. The server performs a search through the terminal dictionary corresponding to the identification information in the received signal and through a server dictionary dedicated to the server. From dictionary data extracted from the server dictionary, the server returns dictionary data of external candidates different from dictionary data extracted from the terminal dictionary as external candidates to the terminal device. The terminal device generates a final candidate list by arranging the internal and external candidates according to a predetermined priority.",2017-01-24,B2,9552351,Information processing system and information processing method for character input prediction,2017
"A date checking system optionally attached to a host device like a typewriter has two buffers, a predetermined cut-out rule and a dictionary ROM. A data queue from the host device is temporarily stored in one of the buffers, and then one word is cut out therefrom by cut-out codes like a space or punctuation mark to be stored in another buffer, where the word is locked up in the dictionary ROM to determine if the spelling thereof is correct.",1990-12-25,A,4980855,Information processing system with device for checking spelling of selected words extracted from mixed character data streams from electronic typewriter,1990
"Provided is an information processing apparatus including a learning part performing learning of a model of an environment in which an agent performs action, using an observed value observed in the agent when the agent capable of action performs action, an action determining part determining action to be performed by the agent, based on the model, and a user instruction output part outputting instruction information representing an instruction from a user according to the instruction from the user, wherein the action determining part determines the action performed by the agent according to the instruction information when there is an instruction from the user.",2018-08-14,B2,10049325,Information processing to provide entertaining agent for a game character,2018
"An information recognition apparatus includes a first identification unit for performing first identification processing and a second identification unit for performing second identification processing, as units for identifying information. In this apparatus, the first identification unit and the second identification unit can perform identification processing in parallel. An information recognition method includes performing first identification processing and second identification processing as processing for identifying information. In this method, the first identification processing and the second identification processing can be performed in parallel.",1996-10-08,A,5563957,Information recognition with transmission between character segmenting and recognition processors,1996
"A CD-ROM is provided with an area for forming a character/graphic pattern. The character/graphic pattern is formed in such a way that data, which generate on the CD-ROM two sorts of pit patterns having average reflectances different from each other to a perceptible extent, are respectively recorded inside and outside the character/graphic pattern. Unless an illegal copy disc is produced by duplicating the legal original disc of the CD-ROM at a very high precision, the character/graphic pattern of the copy disc is invisibly deformed by the discrepancy between the arrangements of the pit patterns of the copy disc and the original disc.",1997-03-04,A,5608717,Information recording media and optical disc presenting a character or a graphic pattern formed by specified pit patterns on data tracks,1997
"A plurality of characters arranged in a text are numbered in order of occurrence for each character type, and an occurrence number table in which one or more occurrence numbers are listed for each character type is prepared in an occurrence number preparing unit. Also, a set of two character types is defined as a character pattern, and a set of two occurrence numbers of two adjacent characters of which types correspond to one character pattern is defined as an occurrence number pattern. One or more occurrence number patterns respectively corresponding to one character pattern are arranged for each character pattern, and a list of occurrence number patterns is prepared as an index file in an index file preparing unit. Thereafter, a series of specified character patterns indicated by a key word is prepared, and a series of particular occurrence number patterns corresponding to the series of specified character patterns is selected on condition that a series of particular characters indicated by the series of particular occurrence number patterns agrees with the particular character stream. Therefore, because the characters of the text is converted to the occurrence number patterns and all occurrence number patterns are not searched, a searching operation can be performed at a high speed.",1998-02-03,A,5715446,Information searching apparatus for searching text to retrieve character streams agreeing with a key word,1998
"The information terminal device of the invention has a first function of displaying non-confidential data in a selectable manner on its display screen and, in response to the user's selection of the non-confidential data, showing the details of the non-confidential data. The information terminal device also has a second function of displaying confidential data in a selectable manner and, in response to the user's selection of the confidential data, showing the details of the confidential data. The first function is given as one normally selectable menu option and is activated by the user's selection of the corresponding menu. The second function is, however, not given as a normally selectable menu option and is triggered only by the user's series of operations of an operation unit in a preset sequence. No operation-related display appears on the display screen of the information terminal device during the user's series of operations of the operation unit. The information terminal device of this configuration does not hint even the presence of confidential data to any third person and thus effectively prevents the third person from analyzing or decoding the data stored in the information terminal device and having illegal access to the confidential data. This arrangement of the invention desirably enables the safe handling of confidential data without the potential for leakage of the confidential data from the information terminal device.",2010-05-11,B2,7716733,Information terminal device and character data display method,2010
